,fold_no,success,min_val_loss,total_epochs,best_epoch,elapsed_time (s),val_loss_list
0,0,True,0.2839,38,27,450.66,"[0.527, 0.5115, 0.5064, 0.5063, 0.5044, 0.4984, 0.4921, 0.488, 0.47, 0.468, 0.468, 0.4667, 0.4598, 0.4398, 0.4344, 0.4368, 0.391, 0.3891, 0.3528, 0.3471, 0.3405, 0.328, 0.3347, 0.3058, 0.3077, 0.2983, 0.2899, 0.2839, 0.2935, 0.2943, 0.2943, 0.2927, 0.2958, 0.2953, 0.3101, 0.3256, 0.3541, 0.3491]"
1,1,True,0.3207,38,27,440.14,"[0.5357, 0.5334, 0.5335, 0.537, 0.5313, 0.5271, 0.5152, 0.482, 0.4673, 0.4583, 0.4583, 0.4531, 0.4457, 0.4356, 0.4255, 0.4114, 0.4779, 0.3877, 0.4136, 0.3733, 0.378, 0.3867, 0.3544, 0.3367, 0.3656, 0.3346, 0.3278, 0.3207, 0.3227, 0.3319, 0.3319, 0.3336, 0.3208, 0.3391, 0.3368, 0.3267, 0.3479, 0.362]"
2,2,True,0.3053,39,28,455.54,"[0.5254, 0.5253, 0.5253, 0.5317, 0.5232, 0.5318, 0.5208, 0.5201, 0.5155, 0.5136, 0.5136, 0.5123, 0.51, 0.5088, 0.4946, 0.4481, 0.422, 0.4003, 0.4055, 0.382, 0.3586, 0.385, 0.3745, 0.34, 0.325, 0.3098, 0.3316, 0.3107, 0.3053, 0.3093, 0.3093, 0.3161, 0.3157, 0.3088, 0.3142, 0.3249, 0.321, 0.3171, 0.3364]"
3,3,True,0.3305,58,47,675.88,"[0.5312, 0.5311, 0.5271, 0.5263, 0.521, 0.5138, 0.5084, 0.4768, 0.4477, 0.44, 0.44, 0.4381, 0.436, 0.4353, 0.4236, 0.423, 0.4067, 0.3898, 0.3857, 0.388, 0.3831, 0.3733, 0.3666, 0.3885, 0.3502, 0.3453, 0.3551, 0.3564, 0.3533, 0.3506, 0.3506, 0.3486, 0.3441, 0.3739, 0.3422, 0.3526, 0.3651, 0.3942, 0.3538, 0.3714, 0.3509, 0.3691, 0.3576, 0.3391, 0.3554, 0.3555, 0.3422, 0.3305, 0.3337, 0.3398, 0.3398, 0.3415, 0.3347, 0.3439, 0.3346, 0.3366, 0.3551, 0.378]"
4,4,False,0.5312,16,5,185.76,"[0.5313, 0.5319, 0.5374, 0.5693, 0.5313, 0.5312, 0.5452, 0.5315, 0.5316, 0.5313, 0.5313, 0.5312, 0.5317, 0.5344, 0.5316, 0.5315]"
5,4,False,0.5312,18,4,208.34,"[0.5368, 0.5396, 0.5402, 0.5314, 0.5312, 0.5376, 0.5359, 0.5312, 0.5325, 0.5314, 0.5314, 0.5312, 0.5318, 0.5315, 0.5313, 0.532, 0.5329, 0.5313]"
6,4,False,0.5302,14,3,163.49,"[0.5561, 0.5334, 0.54, 0.5302, 0.5423, 0.5312, 0.5399, 0.5312, 0.5324, 0.5314, 0.5314, 0.5321, 0.5322, 0.5314]"
7,4,True,0.3093,41,29,483.64,"[0.5313, 0.5312, 0.5336, 0.5312, 0.5359, 0.525, 0.5192, 0.5011, 0.4888, 0.482, 0.482, 0.4789, 0.4738, 0.4674, 0.4586, 0.4548, 0.4351, 0.4056, 0.3913, 0.4246, 0.4212, 0.3763, 0.3784, 0.3291, 0.3228, 0.3197, 0.3258, 0.3192, 0.3123, 0.3093, 0.3093, 0.3127, 0.3128, 0.3179, 0.3231, 0.3332, 0.343, 0.339, 0.323, 0.334, 0.3262]"
